# Continuous evolution trace log
global_time,t,x,a
57.632700,1.011100,288.163500,5.000000
global_time,t,x,a
57.632700,0.000000,288.163500,5.000000
57.733810,0.101110,288.669050,5.000000
57.834920,0.202220,289.174600,5.000000
57.936030,0.303330,289.680150,5.000000
58.037140,0.404440,290.185700,5.000000
58.138250,0.505550,290.691250,5.000000
58.239360,0.606660,291.196800,5.000000
58.340470,0.707770,291.702350,5.000000
58.441580,0.808880,292.207900,5.000000
58.542690,0.909990,292.713450,5.000000
58.643800,1.011100,293.219000,5.000000
global_time,t,x,a
58.643800,0.000000,293.219000,5.000000
58.744910,0.101110,293.724550,5.000000
58.846020,0.202220,294.230100,5.000000
58.947130,0.303330,294.735650,5.000000
59.048240,0.404440,295.241200,5.000000
59.149350,0.505550,295.746750,5.000000
59.250460,0.606660,296.252300,5.000000
59.351570,0.707770,296.757850,5.000000
59.452680,0.808880,297.263400,5.000000
59.553790,0.909990,297.768950,5.000000
59.654900,1.011100,298.274500,5.000000
global_time,t,x,a
59.654900,0.000000,298.274500,5.000000
59.756010,0.101110,298.780050,5.000000
59.857120,0.202220,299.285600,5.000000
59.958230,0.303330,299.791150,5.000000
60.059340,0.404440,300.296700,5.000000
60.160450,0.505550,300.802250,5.000000
60.261560,0.606660,301.307800,5.000000
60.362670,0.707770,301.813350,5.000000
60.463780,0.808880,302.318900,5.000000
60.564890,0.909990,302.824450,5.000000
60.666000,1.011100,303.330000,5.000000
global_time,t,x,a
60.666000,0.000000,303.330000,5.000000
60.767110,0.101110,303.835550,5.000000
